id,price,price_m, total_square ,living_square,ratio_livtot,rooms,level,total_levels,not_ground_floor,not_last_floor,middle_floor,age,kitchen_type,bad_cond,old_cond,rough_cond,prefin_cond,average_cond,good_cond,high_cond,test,panel,brick,concrete,part_furniture,full_furniture,year,walls,condition,price_m_k,furniture,district_name,district_code
1.0,13000000.0,361111.0,36.0,18.0,0.5,1.0,3.0,5.0,1.0,1.0,1.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1991.0,k,good,361.1,0.0,NBH zhetysu-1,13.0
2.0,14500000.0,402778.0,36.0,36.0,1.0,1.0,1.0,9.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2004.0,m,good,402.8,2.0,NBH zhetysu-1,13.0
3.0,39000000.0,386139.0,101.0,60.0,0.5941,3.0,11.0,14.0,1.0,1.0,1.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2005.0,m,high,386.1,1.0,NBH zhetysu-3,15.0
4.0,16000000.0,380952.0,42.0,20.0,0.48,1.0,7.0,9.0,1.0,1.0,1.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1995.0,p,good,381.0,2.0,NBH zhetysu-2,14.0
5.0,12300000.0,323684.0,38.0,36.0,0.95,1.0,1.0,5.0,0.0,1.0,0.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1991.0,k,good,323.7,0.0,NBH zhetysu-1,13.0
6.0,16000000.0,355556.0,45.0,25.0,0.56,1.0,5.0,9.0,1.0,1.0,1.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1995.0,p,good,355.6,1.0,NBH zhetysu-2,14.0
7.0,25000000.0,367647.0,68.0,45.0,0.66,3.0,8.0,9.0,1.0,1.0,1.0,25.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1994.0,p,average,367.6,2.0,NBH zhetysu-2,14.0
8.0,25000000.0,328947.0,76.0,46.0,0.61,3.0,6.0,9.0,1.0,1.0,1.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1991.0,p,good,328.9,2.0,NBH zhetysu-2,14.0
9.0,38500000.0,408271.0,94.3,80.0,0.85,3.0,3.0,10.0,1.0,1.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2010.0,m,high,408.3,2.0,NBH zhetysu-1,13.0
10.0,22000000.0,305556.0,72.0,55.0,0.76,3.0,9.0,9.0,1.0,0.0,0.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1991.0,p,good,305.6,1.0,NBH zhetysu-2,14.0
11.0,25000000.0,423729.0,59.0,32.0,0.54,2.0,9.0,9.0,1.0,0.0,0.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1994.0,p,good,423.7,2.0,NBH zhetysu-2,14.0
12.0,37900000.0,326724.0,116.0,75.0,0.65,3.0,7.0,10.0,1.0,1.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2010.0,m,high,326.7,1.0,NBH zhetysu-1,13.0
13.0,19500000.0,375000.0,52.0,50.0,0.96,2.0,3.0,12.0,1.0,1.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2009.0,m,average,375.0,1.0,NBH zhetysu-3,15.0
14.0,23000000.0,338235.0,68.0,26.0,0.38,1.0,7.0,8.0,1.0,1.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2010.0,m,average,338.2,0.0,NBH zhetysu-3,15.0
15.0,28000000.0,375335.0,74.6,43.3,0.58,3.0,9.0,9.0,1.0,0.0,0.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1990.0,p,high,375.3,1.0,NBH zhetysu-1,13.0
16.0,16800000.0,409756.0,41.0,19.0,0.46,1.0,6.0,9.0,1.0,1.0,1.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1990.0,m,high,409.8,2.0,NBH zhetysu-1,13.0
17.0,21500000.0,430000.0,50.0,25.0,0.5,1.0,3.0,9.0,1.0,1.0,1.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1993.0,m,high,430.0,0.0,NBH zhetysu-2,14.0
18.0,21000000.0,389610.0,53.9,31.7,0.59,2.0,1.0,9.0,0.0,1.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1992.0,p,average,389.6,2.0,NBH zhetysu-2,14.0
19.0,23700000.0,333803.0,71.0,29.0,0.41,1.0,2.0,10.0,1.0,1.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2010.0,m,high,333.8,1.0,NBH zhetysu-3,15.0
20.0,25000000.0,344353.0,72.6,48.2,0.66,3.0,9.0,9.0,1.0,0.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1992.0,p,good,344.4,1.0,NBH zhetysu-2,14.0
