id,price,price_m, total_square ,living_square,ratio_livtot,rooms,level,total_levels,not_ground_floor,not_last_floor,middle_floor,age,kitchen_type,bad_cond,old_cond,rough_cond,prefin_cond,average_cond,good_cond,high_cond,test,panel,brick,concrete,part_furniture,full_furniture,year,walls,condition,price_m_k,furniture,district_name,district_code
1,13000000,361111,36,18,0.5,1,3,5,1,1,1,28,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1991,k,good,361.1,0,NBH zhetysu-1,13
2,14500000,402778,36,36,1,1,1,9,0,1,0,15,0,0,0,0,0,0,1,0,1,0,0,1,1,1,2004,m,good,402.8,2,NBH zhetysu-1,13
3,39000000,386139,101,60,0.5941,3,11,14,1,1,1,14,1,0,0,0,0,0,0,1,1,0,0,1,1,0,2005,m,high,386.1,1,NBH zhetysu-3,15
4,16000000,380952,42,20,0.48,1,7,9,1,1,1,24,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1995,p,good,381,2,NBH zhetysu-2,14
5,12300000,323684,38,36,0.95,1,1,5,0,1,0,28,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1991,k,good,323.7,0,NBH zhetysu-1,13
6,16000000,355556,45,25,0.56,1,5,9,1,1,1,24,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1995,p,good,355.6,1,NBH zhetysu-2,14
7,25000000,367647,68,45,0.66,3,8,9,1,1,1,25,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1994,p,average,367.6,2,NBH zhetysu-2,14
8,25000000,328947,76,46,0.61,3,6,9,1,1,1,28,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1991,p,good,328.9,2,NBH zhetysu-2,14
9,38500000,408271,94.3,80,0.85,3,3,10,1,1,1,9,1,0,0,0,0,0,0,1,1,0,0,1,1,1,2010,m,high,408.3,2,NBH zhetysu-1,13
10,22000000,305556,72,55,0.76,3,9,9,1,0,0,28,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1991,p,good,305.6,1,NBH zhetysu-2,14
11,25000000,423729,59,32,0.54,2,9,9,1,0,0,25,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1994,p,good,423.7,2,NBH zhetysu-2,14
12,37900000,326724,116,75,0.65,3,7,10,1,1,1,9,1,0,0,0,0,0,0,1,1,0,0,1,1,0,2010,m,high,326.7,1,NBH zhetysu-1,13
13,19500000,375000,52,50,0.96,2,3,12,1,1,1,10,1,0,0,0,0,1,0,0,1,0,0,1,1,0,2009,m,average,375,1,NBH zhetysu-3,15
14,23000000,338235,68,26,0.38,1,7,8,1,1,1,9,1,0,0,0,0,1,0,0,1,0,0,1,0,0,2010,m,average,338.2,0,NBH zhetysu-3,15
15,28000000,375335,74.6,43.3,0.58,3,9,9,1,0,0,29,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1990,p,high,375.3,1,NBH zhetysu-1,13
16,16800000,409756,41,19,0.46,1,6,9,1,1,1,29,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1990,m,high,409.8,2,NBH zhetysu-1,13
17,21500000,430000,50,25,0.5,1,3,9,1,1,1,26,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1993,m,high,430,0,NBH zhetysu-2,14
18,21000000,389610,53.9,31.7,0.59,2,1,9,0,1,0,27,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1992,p,average,389.6,2,NBH zhetysu-2,14
19,23700000,333803,71,29,0.41,1,2,10,1,1,1,9,1,0,0,0,0,0,0,1,1,0,0,1,1,0,2010,m,high,333.8,1,NBH zhetysu-3,15
20,25000000,344353,72.6,48.2,0.66,3,9,9,1,0,0,27,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1992,p,good,344.4,1,NBH zhetysu-2,14
21,17000000,414634,41,18,0.44,1,2,9,1,1,1,26,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1993,p,average,414.6,1,NBH zhetysu-2,14
22,36000000,395604,91,60,0.66,4,8,9,1,1,1,24,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1995,p,high,395.6,2,NBH zhetysu-2,14
23,20700000,376364,55,25.5,0.46,1,7,9,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,2018,m,high,376.4,1,NBH zhetysu-3,15
24,15500000,387500,40,18,0.45,1,9,9,1,0,0,28,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1991,p,good,387.5,2,NBH zhetysu-1,13
25,19000000,322034,59,32,0.54,2,1,9,0,1,0,27,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1992,p,good,322,0,NBH zhetysu-4,16
26,18500000,353053,52.4,27.1,0.52,2,6,9,1,1,1,25,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1994,k,average,353.1,0,NBH zhetysu-3,15
27,37500000,382653,98,60,0.61,3,1,4,0,1,0,13,1,0,0,0,0,0,0,1,1,0,1,0,1,0,2006,k,high,382.7,1,NBH zhetysu-2,14
28,17000000,309091,55,25.4,0.46,1,5,10,1,1,1,5,1,0,0,0,0,0,0,1,1,0,0,1,1,1,2014,m,high,309.1,2,NBH zhetysu-2,14
29,20500000,410000,50,50,1,1,10,13,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,2018,m,high,410,1,NBH zhetysu-1,13
30,50000000,476190,105,60,0.57,3,8,16,1,1,1,9,1,0,0,0,0,0,0,1,1,0,0,1,1,1,2010,m,high,476.2,2,NBH zhetysu-1,13
31,25600000,365714,70,47,0.67,3,1,5,0,1,0,27,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1992,k,high,365.7,1,NBH zhetysu-1,13
32,30000000,394737,76,46,0.61,3,9,10,1,1,1,9,1,0,0,0,0,0,0,1,1,0,0,1,1,0,2010,m,high,394.7,1,NBH zhetysu-4,16
33,55000000,561224,98,90,0.92,3,3,10,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,2018,m,high,561.2,1,NBH zhetysu-1,13
34,60000000,317125,189.2,128.1,0.68,5,4,5,1,1,1,14,1,0,1,0,0,0,0,0,1,0,1,0,0,0,2005,k,old,317.1,0,NBH zhetysu-2,14
35,65000000,396341,164,108,0.66,4,3,12,1,1,1,13,1,0,0,0,0,0,0,1,1,0,0,1,1,1,2006,m,high,396.3,2,NBH zhetysu-3,15
36,45000000,375000,120,80,0.67,3,7,14,1,1,1,14,1,0,0,0,0,0,0,1,1,0,0,1,1,0,2005,m,high,375,1,NBH zhetysu-3,15
37,30000000,306122,98,60,0.61,4,7,9,1,1,1,29,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1990,p,average,306.1,1,NBH zhetysu-1,13
38,21000000,435685,48.2,29.3,0.61,2,4,6,1,1,1,7,1,0,0,0,0,0,0,1,1,0,0,1,1,0,2012,m,high,435.7,1,NBH zhetysu-2,14
39,50000000,488281,102.4,102.4,1,3,2,11,1,1,1,8,1,0,0,0,0,0,0,1,1,0,0,1,1,1,2011,m,high,488.3,2,NBH zhetysu-3,15
40,28000000,437500,64,45.5,0.71,3,5,5,1,0,0,29,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1990,k,good,437.5,1,NBH zhetysu-4,16
41,15500000,389447,39.8,18,0.45,1,8,9,1,1,1,28,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1991,p,good,389.4,1,NBH zhetysu-1,13
